epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,6528.15,1.02124,0.63226,1.10075,0.89901,0.84658,0.90698,0.6085,1.10695,0.5872,1.16221,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,6669.48,1.02047,0.63273,1.09837,0.90059,0.84548,0.90685,0.60892,1.10694,0.58681,1.16245,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,6811.07,1.01627,0.62873,1.09672,0.89886,0.8453,0.90666,0.60943,1.10607,0.58631,1.16229,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6952.46,1.01478,0.626,1.09632,0.90177,0.84492,0.90707,0.60988,1.10554,0.58544,1.16216,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7093.45,1.00954,0.6219,1.09467,0.9018,0.84554,0.9072,0.60974,1.10521,0.58537,1.16203,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,7234.43,1.00828,0.62236,1.09251,0.90491,0.84281,0.9074,0.60996,1.10556,0.58527,1.16232,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,7375.58,1.00425,0.61668,1.09105,0.90493,0.84284,0.90732,0.60988,1.10496,0.58486,1.16207,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,7516.33,1.00378,0.61662,1.089,0.89927,0.84819,0.90761,0.60981,1.10456,0.58433,1.16187,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,7657.59,1.00184,0.61102,1.08609,0.89878,0.84822,0.90736,0.60957,1.10434,0.58382,1.16171,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,7798.53,1.00064,0.61227,1.08747,0.9004,0.84749,0.90736,0.61015,1.10423,0.58362,1.16171,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,7939.81,0.99622,0.60937,1.08551,0.8961,0.84907,0.90765,0.61029,1.10394,0.58305,1.16159,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,8080.85,0.99444,0.6063,1.08307,0.89218,0.85351,0.90757,0.61023,1.10369,0.58261,1.1613,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,8222.1,0.99014,0.60306,1.08235,0.8928,0.85313,0.90785,0.60996,1.10341,0.58222,1.16107,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,8363.33,0.98814,0.60125,1.0807,0.89223,0.85301,0.9075,0.61026,1.10308,0.58182,1.16106,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,8504.73,0.98915,0.60169,1.08277,0.89108,0.85348,0.90752,0.61069,1.10285,0.58176,1.16098,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,8645.94,0.98456,0.5996,1.08103,0.89135,0.85355,0.90745,0.61043,1.10281,0.58112,1.16098,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,8786.85,0.98239,0.59634,1.07883,0.89169,0.85302,0.90723,0.61007,1.10267,0.58097,1.16096,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,8927.74,0.97747,0.59323,1.07457,0.89067,0.85412,0.90748,0.61013,1.10245,0.58046,1.16075,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,9068.97,0.97597,0.58925,1.07462,0.89127,0.85494,0.90772,0.61032,1.10234,0.58039,1.16067,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,9209.76,0.97635,0.59082,1.07446,0.88993,0.85664,0.90788,0.61026,1.10187,0.57956,1.16034,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,9350.98,0.97749,0.58756,1.07342,0.89269,0.8543,0.90795,0.61036,1.10176,0.57901,1.16015,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,9492.31,0.97109,0.58445,1.07126,0.89014,0.85596,0.90786,0.61033,1.10193,0.57862,1.16001,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9633.92,0.96429,0.57942,1.06963,0.89069,0.85632,0.90785,0.61025,1.10168,0.57788,1.15995,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9775.11,0.96513,0.58064,1.06774,0.89127,0.85567,0.90809,0.61058,1.10159,0.57772,1.15979,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9916.4,0.96434,0.57993,1.06865,0.89204,0.85492,0.90784,0.61072,1.10167,0.57736,1.15977,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,10058,0.95781,0.57432,1.06416,0.89338,0.85469,0.90786,0.61081,1.10141,0.5774,1.15954,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,10199.3,0.95441,0.5716,1.06345,0.89273,0.85466,0.90731,0.61054,1.10135,0.57726,1.15964,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,10340.7,0.9555,0.57309,1.06436,0.89426,0.85319,0.9071,0.61087,1.10135,0.57727,1.15944,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,10481.9,0.95738,0.57175,1.06428,0.8949,0.85319,0.90692,0.61094,1.1012,0.57684,1.15933,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,10623.3,0.94849,0.56643,1.06064,0.89379,0.85406,0.90652,0.61107,1.10103,0.57622,1.15926,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10764.8,0.94585,0.56447,1.06053,0.89288,0.85546,0.90688,0.61081,1.10105,0.57587,1.15914,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10906.5,0.94982,0.56422,1.06091,0.89488,0.85261,0.90683,0.61071,1.10088,0.57549,1.159,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11048.4,0.94511,0.56131,1.05884,0.89348,0.8535,0.90679,0.61101,1.10062,0.57495,1.15882,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11189.9,0.93845,0.55911,1.05529,0.89273,0.8548,0.90721,0.61108,1.10063,0.5748,1.15886,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,11332.1,0.94145,0.55824,1.05448,0.89488,0.85258,0.9071,0.6119,1.10055,0.57421,1.15879,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,11473,0.93589,0.55519,1.05278,0.89615,0.85202,0.90693,0.61167,1.10029,0.57431,1.15868,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,11614.5,0.9306,0.5515,1.05072,0.8931,0.85554,0.90743,0.6116,1.10034,0.574,1.15888,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,11755.4,0.93057,0.55014,1.0505,0.89305,0.85539,0.90724,0.61153,1.10038,0.57398,1.15892,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
